cell_id,group
aaadeghj-1,KC3
aaakongo-1,KC3
aaamcmkk-1,KC3
aaanpcon-1,KC
aabableo-1,KC3
aabbbllj-1,KC
aabbkaih-1,KC1-2_cycling
aabdfjkb-1,KC1
aabpombj-1,KC3
aacekjld-1,KC1
aachjpbf-1,KC1
aaclfemo-1,KC3
aadcldjb-1,KC3
aadgebmb-1,KC3
aadplkpi-1,KC1
aaecagnd-1,KC3
aaedhojg-1,KC3
aaeianpn-1,KC3
aaenchig-1,KC
aaenikna-1,KC3
aaepgblf-1,KC5
aaffgdhm-1,KC5
aaffmepk-1,KC3
aaflepja-1,KC
aafpenda-1,KC5
aagcmkgf-1,KC3
aagfkplo-1,KC
aaggkhei-1,KC3
aagjfpfk-1,KC3
aagojgaj-1,KC3
aahbbgdi-1,KC1
aaheaikg-1,KC1-2_cycling
aahfndgp-1,KC1
aahhbejd-1,KC1
aahjilpa-1,KC1
aahkdbgh-1,KC1
aahkomji-1,KC1
aaiciolp-1,KC5
aaidphbc-1,KC3
aaifndib-1,KC3
aaigbedl-1,KC3
aaiggail-1,KC5
aaihekff-1,KC3
aaiimknl-1,KC3
aaiinkgm-1,KC1
aailkick-1,KC3
aainaahm-1,KC3
aainajoo-1,KC3
aaipjchf-1,KC3
aajadhbg-1,KC3
aajdlcgi-1,KC3
aajgebap-1,KC3
aajohbmp-1,KC3
aakfhejg-1,KC3
aaknllfh-1,KC3
aakojfco-1,KC3
aakonanm-1,KC3
aaldekej-1,KC3
aalfhdke-1,KC3
aalkcfbo-1,KC1
aaloknjb-1,KC3
aalpkcko-1,KC1
aalponco-1,KC1
aamdajnn-1,KC1
aamenhag-1,KC3
aamffdkm-1,KC3
aamlhpha-1,KC3
aanadknp-1,KC3
aanaflgk-1,KC3
aancdaon-1,KC3
aandibcg-1,KC3
aanijeni-1,KC3
aanjndjb-1,KC3
aaobldia-1,KC
aaocmdhe-1,KC3
aaolajdb-1,KC3
aaoplnih-1,KC3
aapadmkh-1,KC3
aapeckgm-1,KC3
aapgfcmf-1,KC3
aapigmkk-1,KC
aapkbdjh-1,KC5
aapldkeo-1,KC3
aapldnjf-1,KC3
aappjfhp-1,KC3
abafnlgb-1,KC3
abainech-1,KC3
abaklnha-1,KC3
abamophn-1,KC3
abbaelij-1,KC3
abbgmhpm-1,KC3
abbpkfpa-1,KC3
abcelnip-1,KC3
abchdnbf-1,KC3
abdebaok-1,KC3
abdgojfj-1,KC3
abdhmdnh-1,KC3
abdhmeab-1,KC3
abdjpdgp-1,KC3
abednbjk-1,KC3
abeemnba-1,KC3
abejnlfe-1,KC3
abeoannd-1,KC3
abepeogk-1,KC5
abfdcpik-1,KC3
abfdpdhm-1,KC3
abfebmoh-1,KC3
abfefnde-1,KC
abffaioc-1,KC3
abffbmln-1,KC
abfjmigi-1,KC1
abfkkagp-1,KC3
abfnmlpg-1,KC1
abgiifke-1,KC1
abhanhio-1,KC3
abheggjf-1,KC3
abhjenbm-1,KC3
abhngfep-1,KC3
abigagnj-1,KC3
abimecaf-1,KC3
abinpidp-1,KC3
abjanjpj-1,KC
abjckadp-1,KC3
abjgjpna-1,KC
abkanfhb-1,KC5
abkfbiej-1,KC3
abkfmpjh-1,KC3
abkgcobo-1,KC3
abkoieko-1,KC3
ablbmjdk-1,KC3
abldbodi-1,KC3
abldgnjd-1,KC3
abldjmhl-1,KC5
abldknha-1,KC
abmaaaan-1,KC3
abmbbjid-1,KC
abmchadh-1,KC
abmfjhne-1,KC3
abmiagdk-1,KC3
abmljfak-1,KC3
abnabdle-1,KC3
abncloop-1,KC3
abnejhec-1,KC3
abngnmdd-1,KC1
abnilcpe-1,KC3
abnpjhbm-1,KC3
abohgjid-1,KC3
abpbkbcl-1,KC3
abpdabda-1,KC3
abpdekfc-1,KC1
abpfjnmk-1,KC3
abpfmjll-1,KC3
abpifcfg-1,KC3
acalmgpb-1,KC3
acanhdmb-1,KC3
acbaakki-1,KC3
acbcpdla-1,KC3
acbdakga-1,KC3
acbfmcad-1,KC3
acbiigmf-1,KC3
acbimhgg-1,KC1
acbkopik-1,KC1
acbpidhb-1,KC1
accjfoob-1,KC1
acckpdaj-1,KC1
accnenii-1,KC1
acdafcmd-1,KC1
acdcbjmf-1,KC3
acddpnkg-1,KC1
acdflail-1,KC3
acdniijo-1,KC3
acdoapld-1,KC3
aceadkon-1,KC3
acefihdd-1,KC5
acejihbd-1,KC3
acekiiif-1,KC
acffmjdh-1,KC3
acfhgdcj-1,KC3
acfhidof-1,KC3
acfhpojb-1,KC
acfmpaho-1,LC
acfnblja-1,KC1
acfofpnp-1,KC1
acfpebne-1,KC
acgbgdio-1,KC
acgcgmok-1,KC3
acgcokhf-1,KC3
acgdhfcp-1,KC
acgdplpi-1,KC3
acggalnf-1,KC1
acgiehnd-1,KC3
acgnning-1,KC1
achfblgk-1,KC3
achfiimm-1,KC
achkaikk-1,KC1
achophbm-1,KC1
achpceki-1,KC
acibeopd-1,KC3
acibjnon-1,KC3
acibpmig-1,KC1
acjakpgi-1,KC3
acjapamm-1,KC5
acjemlgn-1,KC5
acjpbnhm-1,KC5
ackdhmij-1,KC3
ackhgocm-1,KC3
ackkilel-1,KC1
acklgdop-1,KC3
ackmkmmi-1,KC3
ackninpn-1,KC4
aclacomh-1,KC3
aclaghhb-1,KC3
aclbimjf-1,KC3
aclciefg-1,KC5
aclgpdpn-1,KC3
aclngidg-1,KC1
aclopaac-1,KC1
aclpbddd-1,KC3
acmegnaa-1,KC1
acmilnfh-1,KC1
acmjlmai-1,Melanocyte
acnhjlgo-1,KC1
acocflmi-1,KC3
acolddci-1,KC1-2_cycling
acoljffn-1,KC1
acooedbm-1,KC1
acpgfmef-1,KCinflamm_basal
adablbbp-1,Melanocyte
adaeemdc-1,KC1
adaeljfe-1,KC1
adafconj-1,KC3
adagiimc-1,KC1
adbabbfn-1,KC1
adbbeofa-1,KC1
adbboegp-1,KC1
adcdljbp-1,KC1
adchjgil-1,KC1
addcpoem-1,KC1
adddmiag-1,KC3
addgbadf-1,KC1
addjllge-1,KC1
addpglcb-1,KC1
adecjkaf-1,KC3
adeigdob-1,KC3
adejmlfo-1,KC3
adenjbai-1,KC3
adfdplge-1,KC3
adfehnho-1,KC3
adffdfpd-1,KC3
adfgjoek-1,KC1
adfjegla-1,KC1
adgankmh-1,KC3
adggkmpi-1,KC3
adgklhpm-1,KC3
adgldnoh-1,KC3
adhbdikp-1,KC5
adhcbecg-1,KC3
adhhdkbm-1,KC3
adhiingp-1,KC3
adhilfgp-1,KC3
adhkfagd-1,KC5
adhmldfo-1,KC3
adiejedb-1,KC3
adigmjof-1,KC3
adigmkpj-1,KC3
adiknnmm-1,KC3
adilbooi-1,KC1
adiloach-1,KC1-2_cycling
adimijhp-1,KC1
adiogcja-1,KC3
adjglmcp-1,KC1
adjhkihd-1,KC5
adjhlfdj-1,KC3
adjipapm-1,KC3
adjoknlb-1,KC
adjpoabp-1,KC3
adkeincg-1,KC3
adkkdjjm-1,KC1
adkkomon-1,KC3
adlbbnki-1,KC3
adldgdlj-1,KC1
adlehpnl-1,KC3
adlkjmnn-1,KC3
adlmjndl-1,KC1
admehojk-1,KC1-2_cycling
admjbjme-1,KC3
admmmlbf-1,KC3
admpaihe-1,KC1
adnapmln-1,KC1
adndkpkm-1,KC1
adngfgdd-1,KC1
adnhdmfn-1,KC3
adobafdf-1,KC1
adogmdlb-1,KC1
adoiandg-1,KC1
adoichoj-1,F2: Universal
adojnaba-1,KC1
adolbdeg-1,cDC2
adonlhfc-1,KC1
adooifhc-1,KC1
adopnfap-1,KC1
adpbekmk-1,KC3
adpcplho-1,KC3
adpfdepb-1,cDC2: MMP12hi
adpgckpp-1,KC1
aeafabfp-1,KC3
aeagpmgf-1,KC3
aeaknjgh-1,KC3
