symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen
FLG	0.7940161929289102	0.8920802344837696	0.9492441888203167	0.6991204172533643	0.3039653988058105	No data	0.607930797611621	No data	No data	No data
IL13	0.687652449852909	0.8635344850333382	No data	No data	No data	No data	No data	No data	No data	No data
IL6R	0.6422463612288438	0.861233031897989	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data
IL7R	0.5241209257539916	0.8596927648889584	No data	No data	No data	No data	No data	No data	No data	No data
PRKCQ	0.5230185073095387	0.8596469208209475	No data	No data	No data	No data	No data	No data	No data	No data
IL22	0.5405730679877978	0.8539308218648075	No data	No data	No data	No data	No data	No data	No data	No data
TESPA1	0.5158467742563148	0.8485287738060369	No data	No data	No data	No data	No data	No data	No data	No data
DOK2	0.5100222019701123	0.8383398638754622	No data	No data	No data	No data	No data	No data	No data	No data
BACH2	0.5062161184779794	0.8326870763362404	No data	No data	No data	No data	No data	No data	No data	No data
CYP24A1	0.5038017547935124	0.8215724445334789	No data	No data	No data	No data	No data	No data	No data	No data
BLTP1	0.4966457873446017	0.8169446083267619	No data	No data	No data	No data	No data	No data	No data	No data
NLRP10	0.496746356160655	0.8149284091775716	No data	No data	No data	No data	No data	No data	No data	No data
SERPINB7	0.4895933086836298	0.79884130995236	No data	No data	No data	No data	No data	No data	No data	No data
SATB1	0.4824527299482349	0.7897985391475374	No data	No data	No data	No data	No data	No data	No data	No data
MMP12	0.47832537819424814	0.7812325996454733	No data	No data	No data	No data	No data	No data	No data	No data
ETS1	0.4704000191827882	0.7705806759357021	No data	No data	No data	No data	No data	No data	No data	No data
IL2RA	0.4605208589128154	0.7516278646660278	No data	No data	No data	No data	No data	No data	No data	No data
D2HGDH	0.45870109665970127	0.7511088626715942	No data	No data	No data	No data	No data	No data	No data	No data
CREB5	0.4551239106446446	0.7479398673322097	No data	No data	No data	No data	No data	No data	No data	No data
FOSL2	0.4494574961122212	0.7387155216052043	No data	No data	No data	No data	No data	No data	No data	No data
NFILZ	0.4440147779701112	0.7303705943415154	No data	No data	No data	No data	No data	No data	No data	No data
TNFSF4	0.5412766713836117	0.7278596879766055	No data	No data	No data	No data	No data	No data	No data	No data
ZNF652	0.4401611877150375	0.7203841462013104	No data	No data	No data	No data	No data	No data	No data	No data
CLEC16A	0.43580694038347045	0.7168693247580581	No data	No data	No data	No data	No data	No data	No data	No data
AGO2	0.43458209324105357	0.7101086065298461	No data	No data	No data	No data	No data	No data	No data	No data
MFN2	0.431402296739955	0.7096240204227291	No data	No data	No data	No data	No data	No data	No data	No data
ADO	0.4297842785929472	0.7069625034320379	No data	No data	No data	No data	No data	No data	No data	No data
CSF2RB	0.4310569996593879	0.7060163789566165	No data	No data	No data	No data	No data	No data	No data	No data
IL18R1	0.4316228375107493	0.7056364915743215	No data	No data	No data	No data	No data	No data	No data	No data
PRR5L	0.42558868034327596	0.7000610628961176	No data	No data	No data	No data	No data	No data	No data	No data
TRAF3	0.42635012858379884	0.6982739334445929	No data	No data	No data	No data	No data	No data	No data	No data
INPP5D	0.4402018854161841	0.6937021357344825	No data	No data	No data	No data	No data	No data	No data	No data
ZNF217	0.4176332027213733	0.6869749062921794	No data	No data	No data	No data	No data	No data	No data	No data
IL18RAP	0.41828832759987566	0.6861004936986046	No data	No data	No data	No data	No data	No data	No data	No data
ACOXL	0.4157209039810276	0.6838293200710857	No data	No data	No data	No data	No data	No data	No data	No data
MRPS21	0.4128424490296672	0.6790944802461105	No data	No data	No data	No data	No data	No data	No data	No data
FOXP1	0.40856273339450316	0.6720546729983484	No data	No data	No data	No data	No data	No data	No data	No data
KDELR2	0.40601041086909184	0.6678562962498129	No data	No data	No data	No data	No data	No data	No data	No data
LRP1	0.40356308092337023	0.6623107973284256	No data	No data	No data	No data	No data	No data	No data	No data
PDCD1	0.40429427290410297	0.6603553055823019	No data	No data	No data	No data	No data	No data	No data	No data
IL1RL1	0.41899343062351907	0.6567468865316185	No data	No data	No data	No data	No data	No data	No data	No data
TAGAP	0.3949766872769835	0.6460590739799812	No data	No data	No data	No data	No data	No data	No data	No data
IL22RA2	0.3911344011489989	0.6422169674047474	No data	No data	No data	No data	No data	No data	No data	No data
GLB1	0.39170347649995507	0.6422031612741457	No data	No data	No data	No data	No data	No data	No data	No data
CD200R1	0.38961308981484444	0.6402760174174125	No data	No data	No data	No data	No data	No data	No data	No data
BHLHE40	0.3865139202011155	0.6357860495300016	No data	No data	No data	No data	No data	No data	No data	No data
PRORP	0.3856117769360519	0.6343020923615084	No data	No data	No data	No data	No data	No data	No data	No data
ARRDC1	0.38578458817488165	0.6328823679971798	No data	No data	No data	No data	No data	No data	No data	No data
TNFRSF11A	0.38443968355172137	0.6323740877449708	No data	No data	No data	No data	No data	No data	No data	No data
ADAD1	0.38248950476126475	0.6291661917177942	No data	No data	No data	No data	No data	No data	No data	No data
TNFSF18	0.3807110691479067	0.6184516868315537	No data	No data	No data	No data	No data	No data	No data	No data
RUNX3	0.3723186225263674	0.6093962087599657	No data	No data	No data	No data	No data	No data	No data	No data
AHI1	0.3678829802687482	0.6051395680463152	No data	No data	No data	No data	No data	No data	No data	No data
RPRD2	0.36692063997388136	0.6035565913347427	No data	No data	No data	No data	No data	No data	No data	No data
CD207	0.3702882055849206	0.6027581804587727	No data	No data	No data	No data	No data	No data	No data	No data
AFF1	0.3660105262910984	0.6020595234343197	No data	No data	No data	No data	No data	No data	No data	No data
PLXNC1	0.36166265492473776	0.5949076051840153	No data	No data	No data	No data	No data	No data	No data	No data
GATA3	0.3681803317479283	0.593678406461058	No data	No data	No data	No data	No data	No data	No data	No data
BATF3	0.35964435275503837	0.5915876513708038	No data	No data	No data	No data	No data	No data	No data	No data
DSC1	0.3670685780826552	0.5897243514161675	No data	No data	No data	No data	No data	No data	No data	No data
IL2	0.3642816423134825	0.5872488699519983	No data	No data	No data	No data	No data	No data	No data	No data
OTULINL	0.3527105589827636	0.5801820871198798	No data	No data	No data	No data	No data	No data	No data	No data
SUOX	0.3509920744356986	0.5773553105298199	No data	No data	No data	No data	No data	No data	No data	No data
ITPKA	0.34743313699913836	0.5715011286878369	No data	No data	No data	No data	No data	No data	No data	No data
CIART	0.34721721398567906	0.5711459517264005	No data	No data	No data	No data	No data	No data	No data	No data
IRF4	0.3462678301168105	0.5674565295601329	No data	No data	No data	No data	No data	No data	No data	No data
PUS10	0.3434354022633942	0.5649251586079362	No data	No data	No data	No data	No data	No data	No data	No data
CARD11	0.34400744594760313	0.5645671022951584	No data	No data	No data	No data	No data	No data	No data	No data
RGS14	0.34259615960910156	0.5611621293062257	No data	No data	No data	No data	No data	No data	No data	No data
TLR1	0.3411004420816446	0.5584951045894438	No data	No data	No data	No data	No data	No data	No data	No data
IL1RL2	0.3399859011913196	0.5570556856176475	No data	No data	No data	No data	No data	No data	No data	No data
PRKRA	0.33720628833798255	0.5537668430001582	No data	No data	No data	No data	No data	No data	No data	No data
SMARCE1	0.3336747277121753	0.547349763135446	No data	No data	No data	No data	No data	No data	No data	No data
AQP3	0.3370026210090653	0.5467701178702016	No data	No data	No data	No data	No data	No data	No data	No data
POU3F3	0.32968474399671754	0.5423063698893865	No data	No data	No data	No data	No data	No data	No data	No data
ECM1	0.3279862340166302	0.5371398311379285	No data	No data	No data	No data	No data	No data	No data	No data
RERE	0.32269348781130747	0.5308062843321543	No data	No data	No data	No data	No data	No data	No data	No data
EHMT1	0.322028711652893	0.5297127780300781	No data	No data	No data	No data	No data	No data	No data	No data
PON1	0.3189344086863846	0.5246228846101939	No data	No data	No data	No data	No data	No data	No data	No data
SEPTIN8	0.3187170297120644	0.5242653127036969	No data	No data	No data	No data	No data	No data	No data	No data
ANKRD55	0.3138884761148669	0.5163227086833587	No data	No data	No data	No data	No data	No data	No data	No data
NCF4	0.31486828183855864	0.516110622306309	No data	No data	No data	No data	No data	No data	No data	No data
FAM177A1	0.3116532356300335	0.5126459078145509	No data	No data	No data	No data	No data	No data	No data	No data
PHF19	0.311631131603769	0.512609548369773	No data	No data	No data	No data	No data	No data	No data	No data
IL15	0.31318358993664075	0.5109759795930506	No data	No data	No data	No data	No data	No data	No data	No data
SAMSN1	0.311214682925647	0.5106367066136697	No data	No data	No data	No data	No data	No data	No data	No data
OR10A3	0.3104349934509783	0.5091221649408834	No data	No data	No data	No data	No data	No data	No data	No data
LEF1	0.3064963133247744	0.5041631622035059	No data	No data	No data	No data	No data	No data	No data	No data
MIIP	0.30442253530017543	0.5007519548214383	No data	No data	No data	No data	No data	No data	No data	No data
SLC22A5	0.3029424050043393	0.4983172528756722	No data	No data	No data	No data	No data	No data	No data	No data
ZBTB38	0.3027445481951089	0.4973838626507578	No data	No data	No data	No data	No data	No data	No data	No data
TMPRSS6	0.3013801533343134	0.4957474675050947	No data	No data	No data	No data	No data	No data	No data	No data
PDE1B	0.29781344635314866	0.4898805053522028	No data	No data	No data	No data	No data	No data	No data	No data
SMAD3	0.3000369598448263	0.48931939864647667	No data	No data	No data	No data	No data	No data	No data	No data
RORC	0.29575033018026353	0.48387061900380723	No data	No data	No data	No data	No data	No data	No data	No data
P4HA2	0.29430366304019373	0.4825873513170964	No data	No data	No data	No data	No data	No data	No data	No data
GYG1	0.2927187643217434	0.48150014026555027	No data	No data	No data	No data	No data	No data	No data	No data
RBMS3	0.2946541882829286	0.48103618093328565	No data	No data	No data	No data	No data	No data	No data	No data
NFKBIA	0.2941912328635194	0.4804331859904385	No data	No data	No data	No data	No data	No data	No data	No data
TRIL	0.2875569447786993	0.47300933907021137	No data	No data	No data	No data	No data	No data	No data	No data
SLC9A4	0.28806726503090846	0.4723289501408668	No data	No data	No data	No data	No data	No data	No data	No data
PTPRN2	0.2854468340450112	0.4695383671405475	No data	No data	No data	No data	No data	No data	No data	No data
CHN2	0.2854370312842114	0.4695222423433858	No data	No data	No data	No data	No data	No data	No data	No data
NCKAP5	0.28483285078880394	0.46852841130573963	No data	No data	No data	No data	No data	No data	No data	No data
FASLG	0.2877644929945994	0.4654744744633809	No data	No data	No data	No data	No data	No data	No data	No data
SLC7A10	0.2808611962412228	0.46199534115501756	No data	No data	No data	No data	No data	No data	No data	No data
EMSY	0.2813227018200694	0.46022651164282113	No data	No data	No data	No data	No data	No data	No data	No data
MAP3K14	0.2810470654300328	0.4579435509163447	No data	No data	No data	No data	No data	No data	No data	No data
CDC42SE2	0.27828117973862976	0.45775140991690766	No data	No data	No data	No data	No data	No data	No data	No data
LRRC43	0.2779248548907258	0.45716528259895656	No data	No data	No data	No data	No data	No data	No data	No data
NBPF15	0.2776991724823629	0.4567940521739649	No data	No data	No data	No data	No data	No data	No data	No data
SPATA32	0.2759568143577321	0.453928005361604	No data	No data	No data	No data	No data	No data	No data	No data
SLC25A46	0.2724283701397265	0.44721208635228116	No data	No data	No data	No data	No data	No data	No data	No data
RORA	0.27316895149315534	0.4441779021681931	No data	No data	No data	No data	No data	No data	No data	No data
C1orf54	0.2695805020319301	0.4434394557588324	No data	No data	No data	No data	No data	No data	No data	No data
IL4	0.27970093157614956	0.44270062200358035	No data	No data	No data	No data	No data	No data	No data	No data
GPR132	0.2687246017837461	0.44203156484173023	No data	No data	No data	No data	No data	No data	No data	No data
ARID3A	0.2683001044558161	0.44133329897068424	No data	No data	No data	No data	No data	No data	No data	No data
DUSP1	0.2745671861283663	0.4374908944320084	No data	No data	No data	No data	No data	No data	No data	No data
DDX6	0.2645866454391434	0.4321852868746609	No data	No data	No data	No data	No data	No data	No data	No data
SOCS1	0.26864044608119614	0.43189705010405866	No data	No data	No data	No data	No data	No data	No data	No data
ALPK2	0.2616063215217973	0.43032253432392403	No data	No data	No data	No data	No data	No data	No data	No data
BCL9	0.2610605831036975	0.4294248360657607	No data	No data	No data	No data	No data	No data	No data	No data
