symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc
CARD14	0.8399430683695354	0.7070659342382967	No data	0.8907802957709673	0.9190679877429972	0.7599134970145264	0.607930797611621	0.9549947196932794	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7632336730455366	0.08900706950439213	0.6099377216997834
IL36RN	0.8174117361409682	0.5383386733113917	No data	0.9213106117925791	0.9190679877429972	0.006079307976116211	0.607930797611621	0.865457038266544	0.865457038266544	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.456455307697386	0.26473540144884855	0.44833376496863026
IL12B	0.7720946503450559	0.8896267506157757	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	0.9722472509375855	No data	No data	No data	No data	No data	No data	0.401985690271989	0.35130576934316143	No data
TYK2	0.7260503396016115	0.9133761400444512	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9537051350495958	No data	No data	No data	No data	No data	No data	0.5511828298330879	No data	No data
TRAF3IP2	0.7125399540231383	0.9502528363787286	No data	0.5609089357234308	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6012294509769843	No data	No data
IL17RA	0.6827545553832467	0.38357363109936915	No data	0.42555155832813474	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9699838217412077	No data	No data	No data	No data	No data	No data	0.32707170133564994	No data	No data
IL23A	0.6504305889867646	0.23629117169487762	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9885662023449989	No data	No data	No data	No data	No data	No data	0.9358065998190522	0.11793857473665449	No data
TNF	0.6394060971467087	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9917707382722585	No data	No data	No data	No data	No data	No data	0.9877275634384195	No data	0.47778125732627313
IL17A	0.6372709036877455	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9894231597876175	No data	No data	No data	No data	No data	No data	0.9720830017081377	0.460572153162301	No data
VDR	0.6286821624188428	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9927599191502705	No data	No data	No data	No data	No data	No data	0.8274900048422729	No data	No data
